delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,10,10,3,90.0845184000209,,90.06920329993591,90.0845184000209,91.06862529995851,91.06862529995851,91.08465990005061,91.57067970000207,space,0.49653300014324486,None,91.57168500008993,91.68460696662466,92.01658060005866,91.98137890012003,91.98144509992562,92.01658060005866,92.01658060005866,92.01658060005866,93.95277380011976,200,1,[1.9677506000734866],[1.9677665999624878],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,0,11,11,8,93.96799289993942,,93.95433229999617,93.96799289993942,94.96852610004134,94.96852610004134,94.96852610004134,95.55349389999174,space,0.5767732998356223,None,95.55448990012519,96.26833246677803,96.59958739997819,96.56166310003027,96.5617170999758,96.59958739997819,96.59958739997819,96.59958739997819,99.43418690003455,300,1,[2.869363699806854],[2.8693785998038948],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,1,0,12,8,99.450452900026,,99.4359570001252,99.450452900026,100.43499889993109,100.43499889993109,100.45167610002682,101.70342399994843,space,1.2597513000946492,None,101.70423229993321,102.41807666659976,102.74958560010418,102.71151749999262,102.71158470003866,102.74958560010418,102.74958560010418,102.74958560010418,105.16800540010445,400,1,[2.4535338000860065],[2.453557600034401],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,1,1,13,3,105.18369350000285,,105.1695139000658,105.18369350000285,106.18481449992396,106.18481449992396,106.18481449992396,106.27066699997522,space,0.08032399998046458,None,106.27232090011239,106.38444636675219,106.7163581000641,106.68177190003917,106.68182300007902,106.7163581000641,106.7163581000641,106.7163581000641,123.36857499997132,100,1,[16.68338209996],[16.683399299858138],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,1,2,14,4,123.38458260009065,,123.37027959991246,123.38458260009065,124.38462790008634,124.38462790008634,124.38462790008634,125.58799119992182,space,1.200817900011316,None,125.58899300009944,126.00261976669232,126.3332253000699,126.30149420001544,126.30154579994269,126.3332253000699,126.3332253000699,126.3332253000699,136.90207930002362,200,1,[10.59764780011028],[10.597664500121027],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,1,3,15,5,136.91754180006683,,136.903639000142,136.91754180006683,137.91856619995087,137.91856619995087,137.91856619995087,139.53808570001274,space,1.6047370000742376,None,139.53922950010747,140.25157546677318,140.58325719996355,140.55169530003332,140.55175500013866,140.58325719996355,140.58325719996355,140.58325719996355,149.41821700008586,200,1,[8.863667500205338],[8.86368290008977],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,1,4,16,7,149.43418670003302,,149.4199743999634,149.43418670003302,150.43503320007585,150.43503320007585,150.43503320007585,151.36981289996766,space,0.9188733999617398,None,151.37079590000212,151.78523816663463,152.14978590002283,152.12153020012192,152.12169800000265,152.14978590002283,152.14978590002283,152.14978590002283,155.153227499919,100,1,[3.02842910005711],[3.028446199838072],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,1,5,17,10,155.16796110011637,,155.15501340012997,155.16796110011637,156.1680940000806,156.1680940000806,156.1680940000806,157.18687140010297,space,1.0079548000358045,None,157.18791999993846,157.60199616669368,157.93312739999965,157.90139969997108,157.90144559997134,157.93312739999965,157.93312739999965,157.93312739999965,162.48430659994483,300,1,[4.5801713000983],[4.580186200095341],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,1,6,18,9,162.50084210000932,,162.48590190010145,162.50084210000932,163.48546230001375,163.48546230001375,163.50236100004986,164.68693200009875,space,1.1953881999943405,None,164.68793020001613,164.8014497666775,165.13341520004906,165.10200940002687,165.10206219996326,165.13341520004906,165.13341520004906,165.13341520004906,172.8841693000868,200,1,[7.779477100120857],[7.779492100002244],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,400,unexp,1,7,19,2,172.9011912001297,,172.88572210003622,172.9011912001297,173.88519500009716,173.88519500009716,173.9023818001151,174.7204535000492,space,0.8199164997786283,None,174.721445400035,175.43492476671625,175.7662440999411,175.73190989997238,175.73197800014168,175.7662440999411,175.7662440999411,175.7662440999411,179.43725330010056,300,1,[3.7014058001805097],[3.7014232999645174],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,1,8,20,11,179.4510363000445,,179.43875710014254,179.4510363000445,180.45173890003935,180.45173890003935,180.45173890003935,181.65480259992182,space,1.2004108000546694,None,181.655889299931,182.36890226678614,182.68316769995727,182.66152810002677,182.6615756000392,182.68316769995727,182.68316769995727,182.68316769995727,185.21980109997094,400,1,[2.5556866000406444],[2.5556989000178874],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,400,unexp,1,9,21,0,185.23358140001073,,185.2211492001079,185.23358140001073,186.23299930011854,186.23299930011854,186.23299930011854,187.43386760004796,space,1.1924323998391628,None,187.434269499965,187.53340196662273,187.8490478999447,187.8308216999285,187.83085809997283,187.8490478999447,187.8490478999447,187.8490478999447,190.03444600012153,100,1,[2.202120400033891],[2.2021296001039445],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,400,unexp,1,10,22,1,190.0509373000823,,190.0352874000091,190.0509373000823,191.04968699999154,191.04968699999154,191.06679160008207,192.95536689995788,space,1.9026211998425424,None,192.956826900132,193.36627916671958,193.69973889994435,193.67061830009334,193.670660499949,193.69973889994435,193.69973889994435,193.69973889994435,195.64954710006714,200,1,[1.9769717999733984],[1.9769786999095231],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,1,11,23,6,195.6662071000319,,195.65038280002773,195.6662071000319,196.6587867999915,196.6587867999915,196.66683780006133,197.25134850014,space,0.575565499952063,None,197.2519066000823,197.3580143666516,197.68207330000587,197.66563339997083,197.66567920008674,197.68207330000587,197.68207330000587,197.68207330000587,199.68412370001897,100,1,[2.0164882000535727],[2.016499200137332],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,2,0,24,6,199.6995906000957,,199.68478740006685,199.6995906000957,200.7002455999609,200.7002455999609,200.7002455999609,201.2575032999739,space,0.5468425999861211,None,201.2579415999353,201.36737166677293,201.68252929998562,201.66436449997127,201.6644154000096,201.68252929998562,201.68252929998562,201.68252929998562,203.63373790006153,200,1,[1.967015199828893],[1.9670239998959005],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
